title,company,location,link
Разработчик систем бизнес-аналитики,Увелка ООО «Ресурс»,Москва,https://hh.ru/vacancy/42160011?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
"Бизнес-аналитик 1С (Бухучет, ЗУП)",ООО БайТехСервис,"Минск, Михалово",https://hh.ru/vacancy/42129688?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Котвек,Минск,https://hh.ru/vacancy/42132403?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Главный бизнес-аналитик (контроль качества данных),"СОЮЗ, Акционерный Коммерческий Банк","Москва, Менделеевская",https://hh.ru/vacancy/42129712?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик CRM-системы,ЗАО Банк ВТБ (Беларусь). Корпоративный бизнес,Минск,https://hh.ru/vacancy/41658900?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик/Интегратор CRM,ООО Радекс Технологии,Калининград,https://hh.ru/vacancy/42121736?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,SaM Solutions Самсолюшнс,Минск,https://hh.ru/vacancy/34090466?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик / аналитик бизнес-процессов,ООО Фул Тайм,Москва,https://hh.ru/vacancy/41947773?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик по оптимизации бизнес-процессов,ПАО ГЛОБАЛТРАК МЕНЕДЖМЕНТ,"Москва, Проспект Мира",https://hh.ru/vacancy/41773512?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Старший бизнес-аналитик,ООО Айти-Солюшнс,"Москва, Алексеевская",https://hh.ru/vacancy/41469686?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
